Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,580.4947642,597.2652527,660.0479841,648.1683871,715.4144831,719.5843781,706.8594077,679.8617651,710.7484985,732.3166818,729.1543727,764.9686166,687.8962599,801.329975,808.4558396,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,869.6098396,860.0413958,908.2973158,953.0582807,952.2679487,977.9540849,1031.919174,1078.183633,1073.205629,1153.664071,1114.217028,1140.642714,1229.547425,1247.495053,1327.535544,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,438.5500193,442.9788396,448.2617201,467.6440593,464.8078475,433.5725307,458.7941648,471.6941772,491.9786165,515.2171193,520.9623584,521.7806814,552.3636336,533.7610097,544.6093222,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,..,..,..,..,1680.442143,1681.703799,1729.057845,1737.557423,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,1669.526745,1570.897164,1510.313202,1598.789541,1728.214003,1720.673713,1853.041666,1858.392218,1937.641467,1865.337264,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,656.308935,657.4732183,618.4547152,656.481657,698.0841265,842.6975224,864.8831916,972.7983665,1033.171827,903.7004361,863.0259627,944.0403708,1029.943531,1000.958385,1015.909886,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Australia,AUS,5644.064951,5446.973214,5569.640992,5568.764941,5598.088178,5564.087169,5709.344668,5868.347097,5964.665776,5862.551944,5793.116026,5745.23219,5575.287093,5468.391369,5334.681679,5483.816402,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Austria,AUT,3570.498826,3758.457569,3773.651728,3973.624327,4007.569904,4085.567651,4078.812226,4019.59017,4032.148426,3798.151168,4051.19602,3921.900515,3886.767732,3919.044419,3763.327903,3800.29942,..,..,..,..,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Azerbaijan,AZE,1403.433268,1410.965455,1414.528111,1476.590884,1539.230121,1599.960676,1559.568746,1411.55734,1520.313919,1334.166178,1279.552594,1369.350999,1472.897391,1474.003433,1502.078168,..,..,..,..,..,..
